Name;Ind Sect;Net Debt LF;Tot Eqty LF;DebtToEquity;ROE LF;P/E;EBITDA to Net Sales:Q;FCF T12M;Revenue T12M;Gr PoP of Revenue:CQ T12M;MSCI ESG Rtg;Dvd Ind Yld;PE/G Pl Yld;Inv Turnover LF;Curr Ratio LF;P/S;ROIC LF;P/B;Annualized Net Interest Margin;Effic Ratio LF;R&D Exp T12M;FCF Yld;Gr PoP of FFO:CQ T12M;Ocpncy Rt;ROA LF;Ast TO LF;;;
AON PLC-CLASS A;Financials;16702000128;6552999936;2,548756339;;32,729;22,6821;2884000000;14926000128;13,6699;A;0,6865;2,7628;;1,0704;;;13,6374;;;;;;;;;;;
ARCH CAPITAL GROUP LTD;Financials;1702000000;22274000896;0,076411957;;8,016;;6712000000;16866999808;32,4888;A;;0,8948;;;;;1,7673;;;;;;;;;;;
ARTHUR J GALLAGHER & CO;Financials;6295699968;12209600512;0,515635214;;40,9608;25,1603;2392900000;11270799616;16,5748;A;0,7615;3,0227;;1,0592;;;5,6752;2,0881;64,6438;;;;;;;;;
ASSURANT INC;Financials;269100000;5255300096;0,051205449;;14,9252;;1384900032;11755800064;8,6197;AA;1,4094;;;;;;2,2197;1,2486;66,6954;;;;;;;;;
BANK OF AMERICA CORP;Financials;1,90195E+11;2,96512E+11;0,64144119;;17,1263;;;1,89111E+11;15,8797;A;2,1771;2,4286;;;;;1,3505;;;;;;;;;;;
BANK OF NEW YORK MELLON CORP;Financials;-81213997056;42389999616;-1,915876334;;14,9725;;;38967000064;26,2416;AA;2,3;1,049;;;;;1,5786;0;57,995;;;;;;;;;
BERKSHIRE HATHAWAY INC-CL B;Financials;-5,1853E+11;6,31806E+11;-0,82071084;;25,0732;32,3375;21033999872;4,52954E+11;12,7643;BB;;;11,2368;2,2225;;;1,6535;-0,7914;50,2486;;;;;;;;;
BLACKROCK INC;Financials;142000000;43624001536;0,003255089;;27,2742;44,1216;4047000064;19361000448;10,2249;;2,0011;1,8815;;;;;3,6629;;;;;;;;;;;
BLACKSTONE INC;Financials;9535585280;19464941568;0,489885122;;63,5925;45,819;3952878016;11432423040;35,4251;BB;1,8199;2,6158;;;;;32,9501;;;;;;;;;;;
BROADRIDGE FINANCIAL SOLUTIO;Industrials;3509900032;2206400000;1,590781378;;31,76;18,1109;932100000;6498699904;4,6709;AAA;1,4928;;;1,3885;;;12,4932;6,627;53,0657;;;;;;;;;
BROWN & BROWN INC;Financials;2849999872;6480000000;0,439814795;;34,5244;37,0995;1025900000;4648200000;12,4819;BBB;0,53;2,929;;1,1462;;;5,0085;;;;;;;;;;;
CAPITAL ONE FINANCIAL CORP;Financials;38000000;62925000704;0,000603894;;16,7401;49,3405;21701999872;53261000704;12,4765;A;1,2546;1,0881;;;;;1,2565;;;;;;;;;;;
CBOE GLOBAL MARKETS INC;Financials;802300032;4208300032;0,190647061;;27,5128;65,4511;1567800032;2046900000;9,104;AA;1,1568;1,8683;;1,3884;;;5,4186;;;;;;;;;;;
CHUBB LTD;Financials;14732000256;70119997440;0,210096988;;11,8763;;14803000064;54960999424;13,685;BBB;1,2537;3,7068;;;;;1,7795;2,4561;65,2227;;;;;;;;;
CINCINNATI FINANCIAL CORP;Financials;-878000000;13804000256;-0,063604751;;23,8537;;2558000000;12155000064;24,3987;BBB;2,023;2,3192;;;;;1,8135;3,1028;66,0892;;;;;;;;;
CITIGROUP INC;Financials;2,08898E+11;2,09902E+11;0,995216839;;22,37;65,8043;-55707999744;1,69857E+11;15,3379;A;3,1927;0,7584;;;;;0,6885;;;;;;;;;;;
CITIZENS FINANCIAL GROUP;Financials;2396000000;24931999744;0,096101397;;14,9998;;;12502000128;6,2373;A;3,4884;;;;;;0,9412;;;;;;;;;;;
CME GROUP INC;Financials;1408800000;28216199168;0,049928766;;25,0952;70,5819;3628300032;6044099968;13,0288;BBB;1,9382;3,2679;;1,023;;;3,0243;9,3771;37,9969;;;;;;;;;
CORPAY INC;Financials;6459279872;3114138112;2,074178999;;26,3361;54,1857;2231507968;3877478016;4,6833;BB;;;;1,0517;;;8,5902;;;;;;;;;;;
DISCOVER FINANCIAL SERVICES;Financials;8275999744;17259999232;0,479490157;;14,7345;60,1337;9404999936;23162000384;18,6578;AA;1,5337;1,11;;;;;2,6548;;;;;;;;;;;
EQUIFAX INC;Industrials;5003400192;5046600192;0,991439782;;49,2994;29,1649;783500000;5588199936;8,7897;BBB;0,5973;2,1817;;0,8819;;;6,5923;;;;;;;;;;;
ERIE INDEMNITY COMPANY-CL A;Financials;-363268992;1947954944;-0,186487369;;41,1511;;467478992;3688692032;17,0304;B;1,1641;;;1,3599;;;10,3891;;;;;;;;;;;
EVEREST GROUP LTD;Financials;1788000000;15335000064;0,116596022;;6,3293;;5191999872;16407000064;15,6726;A;2,0566;2,2626;;;;;1,0908;;;;;;;;;;;
FACTSET RESEARCH SYSTEMS INC;Financials;1081969024;1912460032;0,565747261;;34,4;30,1416;614657000;2203056000;2,5322;AA;0,8498;3,5012;;1,253;;;9,714;3,052;58,1852;;;;;;;;;
FIDELITY NATIONAL INFO SERV;Financials;9596999680;16570999808;0,579144276;;29,3973;35,8366;2779000000;10036000000;2,0022;AA;1,6832;1,1868;;1,1805;;;2,8036;;;;;;;;;;;
FIFTH THIRD BANCORP;Financials;-5646000128;20784001024;-0,271651263;;13,943;;;13405000192;11,1618;A;3,0731;0,4989;;;;;1,7446;0;106,8153;;;;;;;;;
FISERV INC;Financials;24056999936;28402999296;0,846988013;;33,939;45,6376;4480999936;20121999872;6,9921;A;;;;1,0662;;;4,7216;;;;;;;;;;;
FRANKLIN RESOURCES INC;Financials;9777399808;14564800512;0,67130338;;10,8741;-0,8231;794200000;8478000000;8,0083;BBB;5,4674;1,0389;;;;;0,9494;;;;;;;;;;;
GLOBAL PAYMENTS INC;Financials;14614821888;23619608576;0,618758005;;18,2107;36,5226;2888445952;10024318720;5,8133;BBB;0,8377;1,8483;;0,9264;;;1,3314;0,4421;60,1382;;;;;;;;;
GLOBE LIFE INC;Financials;2626544896;4638624768;0,566233534;;9,3403;;1387758976;5727483008;6,9656;;0,8594;1,3643;;;;;2,0294;;;;;;;;;;;
GOLDMAN SACHS GROUP INC;Financials;2,51335E+11;1,212E+11;2,073721105;;17,549;74,7113;-90386999808;1,23076E+11;21,9963;A;1,9821;1,0444;;;;;1,7622;3,1943;59,8834;;;;;;;;;
HARTFORD FINANCIAL SVCS GRP;Financials;4084000000;17008000000;0,240122295;;12,1872;;5427000128;26056000000;7,9236;A;1,6809;0,8969;;;;;2,1596;;;;;;;;;;;
HUNTINGTON BANCSHARES INC;Financials;3684000000;20651999232;0,178384667;;15,1908;;;11647000320;11,6148;AA;3,4444;2,2033;;;;;1,4359;0;92,2661;;;;;;;;;
INTERCONTINENTAL EXCHANGE IN;Financials;20763000832;27273000960;0,761302391;;30,8755;63,3887;3433000000;9156999680;21,2045;AA;1,1167;2,4983;;1,0016;;;3,3975;;;;;;;;;;;
INVESCO LTD;Financials;6408000000;15906599936;0,402851648;;13,89;10,6375;1471000000;5887399936;2,4537;;4,5455;0,8191;;;;;0,7539;2,6986;52,754;;;;;;;;;
JACK HENRY & ASSOCIATES INC;Financials;154690000;1925027968;0,080357274;;31,8625;33,9626;464491000;2245156992;5,9102;A;1,2647;3,0209;;1,1118;;;6,5931;2,2452;157,4101;;;;;;;;;
JPMORGAN CHASE & CO;Financials;-4454000128;3,45836E+11;-0,012878937;;13,6937;;;2,73829E+11;21,7413;A;2,0017;2,9532;;;;;2,1693;4,184;73,9457;;;;;;;;;
KEYCORP;Financials;16803999744;16851999744;0,997151673;;1218,0962;;;9960000128;-1,4154;A;4,2008;50,3329;;;;;1,3482;;;;;;;;;;;
KKR & CO INC;Financials;81276534784;61798608896;1,315183889;;46,9256;35,0694;7751075968;31170142720;72,3981;BBB;0,4374;1,5944;;;;;5,8969;3,8336;55,565;;;;;;;;;
LOEWS CORP;Financials;8986000384;18247999488;0,492437562;;11,8252;;1857000000;17221999872;11,5704;BB;0,2872;;;;;;1,098;;;;;;;;;;;
M & T BANK CORP;Financials;-12444999680;28875999232;-0,430980746;;16,48;;;13407000064;10,0049;BBB;2,4457;2,1972;;;;;1,3854;;;;;;;;;;;
MARKETAXESS HOLDINGS INC;Financials;-535151008;1386253952;-0,386041105;;35,4621;52,5627;291766000;811941008;10,7392;AA;1,131;8,543;;3,3304;;;7,122;;;;;;;;;;;
MARSH & MCLENNAN COS;Financials;12981000192;13882000384;0,935095795;;27,1855;24,0477;3769000192;23944999936;7,8409;AA;1,3977;2,6936;;1,1368;;;8,3837;;;;;;;;;;;
MASTERCARD INC - A;Financials;6957000192;7497999872;0,927847467;;38,1353;57,3891;13620000256;27225999872;11,7331;AA;0,4959;2,5137;;1,2895;;;65,8319;;;;;;;;;;;
METLIFE INC;Financials;-2391000064;31164000256;-0,076723144;;11,4836;;15168999936;71348000768;12,3856;AA;2,4703;0,737;;;;;2,2689;0,9311;70,0119;;;;;;;;;
MOODY'S CORP;Financials;4707999744;4068000000;1,157325404;;42,901;47,8764;2325000000;6895999872;20,4331;AA;0,6788;;;1,6671;;;23,2458;;;;;;;;;;;
MORGAN STANLEY;Financials;1,4627E+11;1,04671E+11;1,397426138;;19,0271;63,8609;-31702000512;1,0518E+11;15,8383;AA;2,8199;1,4795;;;;;2,2527;;;;;;;;;;;
MSCI INC;Financials;4316275200;-750998016;-5,747385623;;44,74;63,0524;1436616992;2802724992;16,0538;;1,0579;3,4265;;0,9331;;;;1,5592;68,8095;;;;;;;;;
NASDAQ INC;Financials;9848000512;11080999936;0,888728505;;38,7499;53,9267;1462000000;4538999936;23,175;AA;1,1559;3,6189;;0,9527;;;4,3111;;;;;;;;;;;
NORTHERN TRUST CORP;Financials;-33574899712;12748999680;-2,633532085;;12,2828;;;15461600000;40,4413;A;2,7127;0,8329;;;;;1,7194;2,7607;60,8783;;;;;;;;;
PAYPAL HOLDINGS INC;Financials;-1120999936;20174000128;-0,055566567;;18,9178;21,4604;7044999936;31456999936;7,9957;A;;;;1,2468;;;4,3169;;;;;;;;;;;
PNC FINANCIAL SERVICES GROUP;Financials;26883000320;55729000448;0,482387987;;16,0476;;;34362000896;12,2574;AA;2,9767;0,7598;;;;;1,726;;;;;;;;;;;
PRINCIPAL FINANCIAL GROUP;Financials;-2204300032;11593199616;-0,190137331;;;;4008099904;14066499840;-0,2164;A;3,3456;;;;;;1,7809;;;;;;;;;;;
PROGRESSIVE CORP;Financials;6755700224;27159300096;0,248743532;;20,6534;;14292100352;71945798656;22,6459;A;0,1499;0,5125;;;;;5,7559;2,8939;77,0809;;;;;;;;;
PRUDENTIAL FINANCIAL INC;Financials;7282999808;32575000576;0,223576352;;9,5526;;7283000192;70902001664;37,6123;AAA;4,0148;1,3213;;;;;1,4883;3,8961;59,323;;;;;;;;;
RAYMOND JAMES FINANCIAL INC;Financials;-6210999808;11667000320;-0,532356187;;17,2186;34,5741;1950000000;14923000064;14,863;AA;1,0582;1,5571;;;;;2,9826;;;;;;;;;;;
REGIONS FINANCIAL CORP;Financials;-3004999936;18727000064;-0,160463498;;15,3688;;;9317000192;0,2367;A;3,6697;1,6929;;;;;1,466;2,0012;61,9971;;;;;;;;;
S&P GLOBAL INC;Financials;10343999488;38391001088;0,269438129;;41,2356;49,1469;5144000000;13767000064;12,0909;AA;0,6962;2,8059;;0,945;;;4,773;1,1964;70,7975;;;;;;;;;
SCHWAB (CHARLES) CORP;Financials;20785000448;47215001600;0,440220264;;30,4593;59,6521;25985000832;25641999872;0,4072;BBB;1,2107;3,0006;;;;;3,9888;11,8897;31,1746;;;;;;;;;
STATE STREET CORP;Financials;-84482998272;25827999744;-3,270984943;;12,1239;;;21340000256;21,7064;AA;3,0772;0,9164;;;;;1,263;;65,6362;;;;;;;;;
SYNCHRONY FINANCIAL;Financials;-2302000128;15980000256;-0,144055075;;11,8028;54,8611;9812000000;23947999744;19,0436;AA;1,4877;0,2872;;;;;1,7762;;;;;;;;;;;
T ROWE PRICE GROUP INC;Financials;-2885100032;11216100352;-0,257228443;;13,3714;41,8963;1417800032;6911100032;8,9615;AA;3,9948;1,1006;;;;;2,691;3,0013;56,9455;;;;;;;;;
TRAVELERS COS INC/THE;Financials;7261000192;27696001024;0,262167819;;13,7086;;12248999808;45342000128;13,1485;A;1,575;0,6772;;;;;2,1856;2,8961;61,2471;;;;;;;;;
TRUIST FINANCIAL CORP;Financials;16236000256;65695997952;0,247138346;;12,1835;;;25025000192;-18,1173;A;4,356;1,0719;;;;;1,074;;;;;;;;;;;
US BANCORP;Financials;4984999936;59320999936;0,084034321;;12,8784;;;42430999552;10,9075;A;3,7397;1,0566;;;;;1,6103;;;;;;;;;;;
VERISK ANALYTICS INC;Industrials;2800499968;304700000;9,191007443;;48,357;54,474;907700000;2823299968;7,1624;A;0,5296;3,8647;;0,8184;;;139,0181;2,962;63,8973;;;;;;;;;
VISA INC-CLASS A SHARES;Financials;427000000;39137001472;0,010910391;;32,0698;68,8676;18692999936;35926000640;10,0236;AA;0,7499;2,4326;;1,2834;;;14,8984;;;;;;;;;;;
WELLS FARGO & CO;Financials;7228000256;1,85011E+11;0,03906795;;14,742;;;1,25346E+11;14,7983;BB;2,0723;1,1688;;;;;1,5761;;;;;;;;;;;
WILLIS TOWERS WATSON PLC;Financials;4614000128;7569999872;0,609511256;;18,1397;-27,2608;1292000000;9808999680;5,5753;AA;1,0971;1,5257;;1,1418;;;4,32;;;;;;;;;;;
WR BERKLEY CORP;Financials;1488728960;7787051008;0,19118007;;15,7638;;3194420032;13192566016;10,5335;BB;0,4928;1,0542;;;;;3,1798;;;;;;;;;;;
ABBOTT LABORATORIES;Health Care;6853000192;40028000256;0,17120516;;32,664;25,0118;6486000064;41217000448;3,1482;BB;1,8495;3,2666;2,7215;1,5972;;;;;;2795000000;;;;;;;;
ABBVIE INC;Health Care;63793999872;6071000064;10,50798867;;24,034;40,8714;15622999936;55532999680;0,7164;A;3,5831;1,6406;4,3202;0,6452;;;;;;7944000128;;;;;;;;
AGILENT TECHNOLOGIES INC;Health Care;2060999936;5897999872;0,349440485;;27,8397;28,0423;1373000000;6509999872;-3,3408;AA;0,7181;3,7039;2,9705;2,0892;;;;;;479000000;;;;;;;;
ALIGN TECHNOLOGY INC;Health Care;-914332032;3944354048;-0,231807799;;35,5055;20,4619;373018000;3960518976;4,0312;A;;;4,3204;1,2587;;;;;;351500000;;;;;;;;
AMGEN INC;Health Care;51386998784;7527000064;6,827022499;;32,2632;40,4916;6282999808;32533999616;21,2462;A;3,2135;4,0236;2,0759;1,3177;;;;;;5774000128;;;;;;;;
BAXTER INTERNATIONAL INC;Health Care;11774000128;7942000128;1,482498104;;25,8184;10,5224;558000000;13988000000;3,1259;BBB;2,0414;5,4327;3,4827;1,4297;;;;;;650000000;;;;;;;;
BECTON DICKINSON AND CO;Health Care;18756999168;25890000896;0,724488162;;16,8661;22,2181;3073000000;20178000384;4,1606;BBB;1,874;1,5744;3,1065;1,1688;;;;;;1190000000;;;;;;;;
BIO-TECHNE CORP;Health Care;211378000;2138649984;0,098837118;;61,411;25,0551;245030000;1171581984;2,4126;A;0,4245;;2,1774;4,5633;;;;;;96535000;;;;;;;;
BIOGEN INC;Health Care;4951699968;16358899712;0,302691505;;13,0321;26,3038;1947500032;9607500032;-3,8606;AA;;;0,8604;1,2591;;;;;;2080400000;;;;;;;;
BOSTON SCIENTIFIC CORP;Health Care;8755999744;20956999680;0,417807887;;48,2557;24,6852;2156000000;15909999872;15,6502;BB;;;1,9143;1,4824;;;;;;1519000000;;;;;;;;
BRISTOL-MYERS SQUIBB CO;Health Care;42981998592;17200001024;2,498953258;;14,2546;37,8574;13802999808;47434999808;5,5636;A;4,0493;;4,1266;1,2402;;;;;;10446000384;;;;;;;;
CARDINAL HEALTH INC;Health Care;2296999936;-3276000000;-0,701159932;;14,8583;1,4347;1061000128;2,24341E+11;6,8158;AA;1,6492;1,6079;13,2977;0,9489;;;;;;;;;;;;;;
CATALENT INC;Health Care;4611999744;3542000128;1,302089096;;;4,4966;99000000;4421999936;4,7123;A;;;5,1253;2,512;;;;;;;;;;;;;;
CENCORA INC;Health Care;2490172928;786742016;3,165170891;;22,3343;0,5141;2997512000;2,93959E+11;12,1237;AA;0,8811;2,3233;15,5841;0,8792;;;;;;0;;;;;;;;
CENTENE CORP;Health Care;36000000;27409000448;0,001313437;;9,772;2,3273;244999872;1,61726E+11;7,7455;AA;;;;1,0983;;;;;;;;;;;;;;
CHARLES RIVER LABORATORIES;Health Care;2549317888;3827717120;0,666015227;;26,4304;20,3615;560484000;4060915968;-3,2734;A;;;8,4214;1,4767;;;;;;;;;;;;;;
COOPER COS INC/THE;Health Care;2522700032;7925199872;0,318313743;;44,1789;28,0714;189200000;3804100032;5,8694;AA;;;1,7028;1,9873;;;;;;154100000;;;;;;;;
CVS HEALTH CORP;Health Care;73023995904;75106000896;0,972279113;;11,7559;2,0885;1687000064;3,68912E+11;6,0674;BBB;4,4363;;17,7813;0,7958;;;;;;;;;;;;;;
DANAHER CORP;Health Care;16097000448;51305000960;0,313751099;;42,3822;26,7161;5010000000;23742000128;-3,5623;A;0,4522;32,8644;3,3837;1,3708;;;;;;1549000000;;;;;;;;
DAVITA INC;Health Care;11106490368;2219674112;5,003658108;;16,7456;22,1196;1415856032;12666613760;6,3413;AA;;;71,3398;1,3713;;;;;;;;;;;;;;
DEXCOM INC;Health Care;98900000;1979000064;0,049974733;;43,7719;20,8509;535000000;3954000000;16,1916;A;;;2,7929;2,4577;;;;;;549000000;;;;;;;;
EDWARDS LIFESCIENCES CORP;Health Care;-3739399936;9611400192;-0,389058812;;26,743;28,9132;515500000;5872600064;9,8339;AAA;;;1,2082;3,4606;;;;;;1081200000;;;;;;;;
ELEVANCE HEALTH INC;Health Care;-10785000448;43878998016;-0,245789579;;11,7372;4,4384;871000064;1,74216E+11;3,3175;AAA;1,6189;0,8709;;1,4952;;;;;;0;;;;;;;;
ELI LILLY & CO;Health Care;27601299456;14320700416;1,927370775;;60,0423;17,4244;1399800160;40863300608;27,4092;A;0,6597;2,0591;1,2624;1,2732;;;;;;10530800128;;;;;;;;
GE HEALTHCARE TECHNOLOGY;Health Care;7121999872;8512000000;0,836701113;;18,7599;16,8209;1695000000;19558000128;1,4209;;0,1687;1,8065;5,3965;1,227;;;;;;1282000000;;;;;;;;
GILEAD SCIENCES INC;Health Care;18211999744;18389999616;0,990320833;;15,0309;20,9145;9431000064;28298999808;3,315;AAA;3,333;0,7674;3,8268;1,2605;;;;;;5674000128;;;;;;;;
HCA HEALTHCARE INC;Health Care;42000998400;786000000;53,43638473;;15,0433;18,5967;5880000128;69621000192;10,2261;A;0,8111;1,2932;;1,1183;;;;;;0;;;;;;;;
HENRY SCHEIN INC;Health Care;2865999872;4970999808;0,576543951;;21,8808;7,2779;461000000;12499000064;-1,6229;A;;;4,7678;1,4158;;;;;;;;;;;;;;
HOLOGIC INC;Health Care;324400000;5129999872;0,063235869;;23,6151;30,8432;1155000000;4030200064;-1,0619;AA;;;2,7785;3,6862;;;;;;272800000;;;;;;;;
HUMANA INC;Health Care;-11500000256;17624000512;-0,652519287;;17,1971;3,3031;-4343999872;1,1501E+11;12,3682;AA;1,1932;;;1,7582;;;;;;;;;;;;;;
IDEXX LABORATORIES INC;Health Care;590497024;1618054016;0,364942714;;40,6619;35,0087;792604016;3844816960;7,1601;AAA;;;3,8541;1,4206;;;;;;213875000;;;;;;;;
INCYTE CORP;Health Care;-1730484992;3171219968;-0,545684314;;;14,8176;30702016;4075859968;12,9357;A;;;4,5962;1,8704;;;;;;2585308064;;;;;;;;
INSULET CORP;Health Care;495700000;1118000000;0,443381038;;74,5559;20,114;227200000;1983900032;27,4181;A;;;1,4208;3,6762;;;;;;201000000;;;;;;;;
INTUITIVE SURGICAL INC;Health Care;-4231699968;15677500416;-0,269921853;;86,1139;34,0268;586000000;7866899968;14,8318;A;;;1,9759;4,3032;;;;;;1110700000;;;;;;;;
IQVIA HOLDINGS INC;Health Care;11987999744;6967000064;1,720683168;;23,92;21,2526;1961000000;15315000064;3,0966;AA;;;;0,8055;;;;;;;;;;;;;;
JOHNSON & JOHNSON;Health Care;15454000128;70158000128;0,22027424;;20,2815;30,813;20744999424;87695998976;3,4324;A;3,1918;3,2927;2,2807;1,0288;;;;;;18128999936;;;;;;;;
LABCORP HOLDINGS INC;Health Care;6201800192;8185399808;0,75766613;;20,6601;12,663;845000000;12712800000;-0,7006;AA;1,1893;1,9867;19,4097;1,439;;;;;;;;;;;;;;
MCKESSON CORP;Health Care;4710000128;-2641999872;-1,782740483;;23,7447;0,7912;4601000064;3,30187E+11;13,4281;AA;0,4534;1,7156;13,7486;0,9076;;;;;;;;;;;;;;
MEDTRONIC PLC;Health Care;20337000448;48716001280;0,417460381;;20,6734;27,0142;5499000064;32995999744;3,2512;BB;3,2456;2,1288;2,0534;1,8399;;;;;;2743000000;;;;;;;;
MERCK & CO. INC.;Health Care;23537999872;44559998976;0,528231607;;18,4633;30,7018;14840000320;63173999616;6,5077;A;3,142;1,1548;2,4688;1,3642;;;;;;22980999936;;;;;;;;
METTLER-TOLEDO INTERNATIONAL;Health Care;2005911040;-154352992;-12,9956084;;32,6054;32,333;888625984;3762225984;-3,804;AA;;;4,0553;1,0112;;;;;;185738000;;;;;;;;
MODERNA INC;Health Care;-5542000128;11927000064;-0,464660023;;;-0,9667;-3955999872;5081000064;-44,2934;AA;;;3,6796;4,3916;;;;;;4826999872;;;;;;;;
MOLINA HEALTHCARE INC;Health Care;-6685000192;4769999872;-1,401467583;;14,2678;4,971;89000000;39199000576;17,9024;AA;;;;1,545;;;;;;0;;;;;;;;
PFIZER INC;Health Care;57749000192;92558000128;0,623922299;;13,7282;37,9279;8227000192;60113000448;-19,3755;A;6,5041;0,8311;1,7792;1,0003;;;;;;10602000128;;;;;;;;
QUEST DIAGNOSTICS INC;Health Care;6206000128;6920999936;0,896691256;;20,1756;18,2878;1023000000;9539000064;2,603;AAA;1,8369;2,4932;34,875;1,2538;;;;;;0;;;;;;;;
REGENERON PHARMACEUTICALS;Health Care;-15583399936;29325899776;-0,531386933;;18,8714;34,9719;3384799904;13847099648;5,7248;A;;;0,6889;5,281;;;;;;4897100032;;;;;;;;
RESMED INC;Health Care;423880992;5195025920;0,081593624;;30,9539;35,2829;1353248992;4807485056;9,8849;A;0,8503;2,3065;2,1693;2,9213;;;;;;311378000;;;;;;;;
REVVITY INC;Health Care;2085364992;7921700864;0,263247127;;45,2465;30,0886;564371992;2721555008;-3,1346;AA;0,2409;5,5888;2,8865;3,559;;;;;;197232000;;;;;;;;
SOLVENTUM CORP;Health Care;7336999936;3192000000;2,298558877;;;19,5965;;;;;;;;1,155;;;;;;;;;;;;;;
STERIS PLC;Health Care;2227620096;6610462208;0,336984015;;33,9075;25,2026;680110000;5423446016;5,8409;AAA;1,0484;;4,0882;2,4058;;;;;;105979000;;;;;;;;
STRYKER CORP;Health Care;11322999808;20149000192;0,561963358;;37,557;25,4823;3205000064;21974000128;10,5054;A;0,8244;2,8791;1,5735;1,9133;;;;;;1458000000;;;;;;;;
TELEFLEX INC;Health Care;1618124032;4481717248;0,361050004;;13,7224;28,5131;450039000;3025824000;2,273;AA;0,7083;1,6727;2,1053;2,4231;;;;;;152977000;;;;;;;;
THE CIGNA GROUP;Health Care;26050000896;42297999360;0,615868393;;14,6102;5,0648;4814000256;2,32586E+11;22,4769;AA;1,6642;1,1015;43,4806;0,8626;;;;;;0;;;;;;;;
THERMO FISHER SCIENTIFIC INC;Health Care;28668000256;49099001856;0,583881529;;31,8824;24,3159;7775000192;42369998848;-2,4758;BB;0,299;3,6832;4,614;1,6289;;;;;;1343000000;;;;;;;;
UNITEDHEALTH GROUP INC;Health Care;40875999232;1,04455E+11;0,391326416;;23,7544;9,6697;13096000576;3,93898E+11;9,4216;A;1,3807;2,0083;;0,9084;;;;;;;;;;;;;;
UNIVERSAL HEALTH SERVICES-B;Health Care;5000778752;6686709248;0,747868431;;13,5167;13,4678;956840008;15417758976;9,9273;CCC;0,3931;0,5705;;1,3932;;;;;;0;;;;;;;;
VERTEX PHARMACEUTICALS INC;Health Care;-4750400000;15630900224;-0,303910839;;39,6698;42,1913;-1106799904;10625799936;10,064;AA;;;1,6682;2,4676;;;;;;3456200064;;;;;;;;
VIATRIS INC;Health Care;14104000512;19792400384;0,712596766;;11,1802;23,875;1948500032;15048499968;-2,697;BBB;3,6309;;2,3318;1,5052;;;;;;805000000;;;;;;;;
WATERS CORP;Health Care;1573369984;1603099008;0,981455279;;36,8532;34,9368;620141008;2905147008;-3,97;AAA;;;2,2006;2,0192;;;;;;180499000;;;;;;;;
WEST PHARMACEUTICAL SERVICES;Health Care;-186100000;2752100096;-0,067621087;;47,8441;27,8351;321600000;2876399936;-1,7119;AA;0,2598;17,4564;4,4977;3,0021;;;;;;69000000;;;;;;;;
ZIMMER BIOMET HOLDINGS INC;Health Care;5881699840;12383200256;0,474974136;;20,5546;29,0758;1099100000;7595499904;4,3438;AA;0,857;2,794;0,9136;1,362;;;;;;442200000;;;;;;;;
ZOETIS INC;Health Care;5040999936;5233999872;0,963125728;;30,2118;43,3836;2308000000;9152000000;9,3298;AAA;0,9777;2,8616;1,062;3,691;;;;;;674000000;;;;;;;;
ACCENTURE PLC-CL A;Information Technology;-889315968;29168248832;-0,030489179;;30,3209;17,9819;8614517824;64896464896;-0,174;AA;1,6346;3,1396;;1,0992;3,5038;;;;;;3,7897;;;;;;;
ADOBE INC;Information Technology;-1436999936;14545000448;-0,09879683;;37,1597;42,3077;6550000000;20947000320;10,9128;AAA;;;;1,1112;11,0443;;;;;;2,8343;;;;;;;
ADVANCED MICRO DEVICES;Information Technology;-2305999872;56985001984;-0,040466786;;115,4264;21,7041;1556000000;24294999552;5,2689;AA;;;2,5544;2,498;9,0723;;;;;;0,7058;;;;;;;
AKAMAI TECHNOLOGIES INC;Information Technology;2671630080;4794138112;0,557270153;;24,4254;23,5265;908280992;3966246016;5,9168;AA;;;;1,3285;3,5869;;;;;;6,3838;;;;;;;
ANALOG DEVICES INC;Information Technology;5605222912;35176316928;0,159346498;;33,9879;44,6075;3122065984;9427156992;-21,1702;A;1,6945;2,1632;2,6187;1,8354;11,4299;;;;;;2,8975;;;;;;;
ANSYS INC;Information Technology;-427511008;5828775936;-0,073344903;;50,4293;33,9511;729450976;2467742912;14,3026;AAA;;;;3,1121;12,291;;;;;;2,4061;;;;;;;
APPLE INC;Information Technology;-37590999040;56950001664;-0,660070201;;34,7932;34,2379;1,08807E+11;3,91035E+11;0,6048;BBB;0,4257;3,4685;30,8955;0,8673;9,2244;;;;;;3,0153;;;;;;;
APPLIED MATERIALS INC;Information Technology;-3212000000;19000999936;-0,169043735;;19,7686;30,6033;7487000064;27176000000;1,2709;AAA;0,9339;1,5856;2,5622;2,5059;5,2145;;;;;;5,2855;;;;;;;
ARISTA NETWORKS INC;Information Technology;-7428387840;9245888512;-0,803426067;;48,2563;44,2196;3178146048;6613147008;18,1915;AA;;;1,2849;4,4685;19,0567;;;;;;2,5197;;;;;;;
AUTODESK INC;Information Technology;601000000;2616000000;0,229740061;;54,9563;25,0955;1316000000;5960999808;8,441;AAA;;;;0,6488;10,4829;;;;;;2,1077;;;;;;;
BROADCOM INC;Information Technology;60006998016;65650999296;0,91403023;;62,8191;48,2864;18655000064;46814999552;18,9843;A;1,3277;3,42;9,0476;1,0378;15,3742;;;;;;2,609;;;;;;;
CADENCE DESIGN SYS INC;Information Technology;39150000;4563338240;0,008579246;;84,104;33,3284;952240016;4353905984;11,0339;AA;;;2,3264;2,4477;18,9311;;;;;;1,1545;;;;;;;
